name,confirmed,recovered,death,added_date
日本,355,1,1,20200216
新加坡,72,18,-,20200216
泰国,34,14,-,20200216
韩国,29,9,-,20200216
马来西亚,22,7,-,20200216
德国,16,1,-,20200216
越南,16,7,-,20200216
美国,15,3,-,20200216
澳大利亚,15,5,-,20200216
法国,12,4,1,20200216
英国,9,8,-,20200216
阿联酋,8,4,-,20200216
加拿大,8,1,-,20200216
意大利,3,-,-,20200216
印度,3,3,-,20200216
菲律宾,3,1,1,20200216
西班牙,2,-,-,20200216
俄罗斯,2,2,-,20200216
埃及,1,-,-,20200216
巴西,1,-,-,20200216
比利时,1,-,-,20200216
瑞典,1,-,-,20200216
芬兰,1,1,-,20200216
斯里兰卡,1,1,-,20200216
柬埔寨,1,1,-,20200216
尼泊尔,1,1,-,20200216
日本,253,1,1,20200215
新加坡,67,17,-,20200215
泰国,33,10,-,20200215
韩国,28,7,-,20200215
马来西亚,19,3,-,20200215
德国,16,1,-,20200215
越南,16,7,-,20200215
美国,15,3,-,20200215
澳大利亚,15,5,-,20200215
法国,11,-,-,20200215
英国,9,1,-,20200215
阿联酋,8,3,-,20200215
加拿大,8,1,-,20200215
意大利,3,-,-,20200215
印度,3,-,-,20200215
菲律宾,3,1,1,20200215
西班牙,2,-,-,20200215
俄罗斯,2,2,-,20200215
埃及,1,-,-,20200215
巴西,1,-,-,20200215
比利时,1,-,-,20200215
瑞典,1,-,-,20200215
芬兰,1,1,-,20200215
斯里兰卡,1,1,-,20200215
柬埔寨,1,1,-,20200215
尼泊尔,1,1,-,20200215
日本,252,1,1,20200214
新加坡,58,15,-,20200214
泰国,33,10,-,20200214
韩国,28,7,-,20200214
马来西亚,19,3,-,20200214
德国,16,1,-,20200214
越南,16,7,-,20200214
美国,15,3,-,20200214
澳大利亚,15,5,-,20200214
法国,11,-,-,20200214
英国,9,1,-,20200214
阿联酋,8,1,-,20200214
加拿大,7,1,-,20200214
意大利,3,-,-,20200214
印度,3,-,-,20200214
菲律宾,3,1,1,20200214
西班牙,2,-,-,20200214
俄罗斯,2,2,-,20200214
巴西,1,-,-,20200214
比利时,1,-,-,20200214
瑞典,1,-,-,20200214
芬兰,1,1,-,20200214
斯里兰卡,1,1,-,20200214
柬埔寨,1,1,-,20200214
尼泊尔,1,1,-,20200214
